"Guid","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
0b1e87ef-84c5-441a-8b63-97d50cbf031e,QTY,Left,3.0,"#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,"#N/A",3.0,false,5.0
11f94a46-f362-49c7-8841-a5107b1f99c8,Net Total,Left,3.0,"#N/A","#N/A",6.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,"#N/A",3.0,false,15.0
13e84e7c-9d73-477a-9552-feadc00a9a3c,DESCRIPTION,Left,3.0,"#N/A","#N/A",30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,"#N/A",3.0,false,50.0
1bdaf968-f264-46f0-a72e-0a0ce2803924,EXTENDED,Right,3.0,"#N/A","#N/A",60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,"#N/A",3.0,false,15.0
25099ac4-3917-4fc5-be3f-1b295d4a44a6,Net Total,Left,3.0,"#N/A","#N/A",6.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,"#N/A",3.0,false,15.0
2ae48a9c-e622-4a79-97c0-acd29d054596,EXTENDED,Right,3.0,"#N/A","#N/A",60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,"#N/A",3.0,false,15.0
2bee5360-6129-4b88-89db-282b77e763a9,List Price,Left,3.0,"#N/A","#N/A",3.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,"#N/A",3.0,false,10.0
5e4dc294-0735-4ab9-9967-db224bd8d558,Net Price,Left,3.0,"#N/A","#N/A",4.0,false,SBQ__NetPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,"#N/A",3.0,false,10.0
7b7f504e-9e51-4e02-8459-e5be97062731,List Price,Left,3.0,"#N/A","#N/A",3.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,"#N/A",3.0,false,10.0
881597f7-7830-45a4-8952-e3c4f0effe42,PART #,Left,3.0,"#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,"#N/A",3.0,false,10.0
89ade65c-3ecd-4675-b619-21e711ab92dd,Product,Left,3.0,"#N/A","#N/A",1.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,"#N/A",3.0,false,20.0
92936f11-2660-4bdf-9fce-c9a2ea2a0885,DISC (%),Right,3.0,"#N/A","#N/A",50.0,false,SBQQ__Discount__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,"#N/A",3.0,false,10.0
a54c2f47-3f7f-4dae-8d06-7fd5fd9624d3,UNIT PRICE,Right,3.0,"#N/A","#N/A",40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,"#N/A",3.0,false,10.0
b2b8b908-4a19-4aa4-be52-75faad708955,DISC (%),Right,3.0,"#N/A","#N/A",50.0,false,SBQQ__Discount__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,"#N/A",3.0,false,10.0
b47027df-afc2-4e7a-8d18-4425fdf81332,QTY,Left,3.0,"#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,"#N/A",3.0,false,5.0
b7a64665-4e08-41a1-9f84-c513099981ba,Description,Left,3.0,"#N/A","#N/A",2.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,"#N/A",3.0,false,35.0
bce43be1-10a2-4550-8808-ac8535359446,DESCRIPTION,Left,3.0,"#N/A","#N/A",30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,"#N/A",3.0,false,50.0
c504a53f-644c-4170-89b5-f59302a37803,Quantity,Left,3.0,"#N/A","#N/A",5.0,false,SBQQ__Quantitty__C,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,"#N/A",3.0,false,10.0
c6ffde4f-fc48-49a0-a419-c43943d5364b,Net Price,Left,3.0,"#N/A","#N/A",4.0,false,SBQ__NetPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,"#N/A",3.0,false,10.0
d5ab934d-dffa-48cd-b1ce-d58ddc42f37e,Description,Left,3.0,"#N/A","#N/A",2.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,"#N/A",3.0,false,35.0
dd35aa59-be2f-4f8e-8f19-0316c506b987,Product,Left,3.0,"#N/A","#N/A",1.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,"#N/A",3.0,false,20.0
f10dc0b8-b30b-4039-aa57-f9e465a5c33a,PART #,Left,3.0,"#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,"#N/A",3.0,false,10.0
f3528286-1d60-48f7-996d-6f45bd52d051,UNIT PRICE,Right,3.0,"#N/A","#N/A",40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,"#N/A",3.0,false,10.0
f726a2e8-be54-4e84-9a6f-65c3b6513457,Quantity,Left,3.0,"#N/A","#N/A",5.0,false,SBQQ__Quantitty__C,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,"#N/A",3.0,false,10.0
